band_index,wavelength_nm,fwhm_nm
252,2393.77,5.52
253,2399.29,5.52
254,2404.82,5.52
255,2410.34,5.52
256,2415.87,5.52
257,2421.39,5.52
258,2426.92,5.52
259,2432.44,5.52
260,2437.97,5.53
261,2443.49,5.53
262,2449.02,5.53
263,2454.54,5.53
264,2460.07,5.53
265,2465.59,5.53
266,2471.12,5.53
267,2476.65,5.53
268,2482.17,5.53
269,2487.7,5.53
270,2493.23,5.53
271,2498.76,5.53
272,2504.28,5.53
